"pred_day","GRP1","GRP2","ophi_A_1up_cnt","ophi_A_1up_avg","ophi_B_2_4up_cnt","ophi_B_2_4up_avg","ophi_C_5_7up_cnt","ophi_C_5_7up_avg","ophi_D_8_12up_cnt","ophi_D_8_12up_avg","opcl_A_1up_cnt","opcl_A_1up_avg","opcl_B_2_4up_cnt","opcl_B_2_4up_avg","opcl_C_5_7up_cnt","opcl_C_5_7up_avg","opcl_D_8_12up_cnt","opcl_D_8_12up_avg","oplw_A_1up_cnt","oplw_A_1up_avg","oplw_B_2_4up_cnt","oplw_B_2_4up_avg","oplw_C_5_7up_cnt","oplw_C_5_7up_avg","oplw_D_8_12up_cnt","oplw_D_8_12up_avg"
"08-20 Day","NO_UP_HIGH16","C11_15",100,0.4,80,1.1,60,0.4,NA,NA,20,-0.2,60,0.4,40,-0.3,NA,NA,0,-0.5,0,-1.5,20,-0.8,NA,NA
"08-20 Day","NO_UP_HIGH16","D16_20",80,0.5,80,2.6,80,2.5,NA,NA,40,-0.1,80,1.8,60,1.7,NA,NA,0,-0.5,20,-0.9,60,1.4,NA,NA
"08-20 Day","NO_UP_HIGH16","Z21~all",94.3,0.7,91.5,2,80.1,1.5,NA,NA,42,-0.2,80.1,1.3,70.5,0.5,NA,NA,0,-0.9,19.3,-1.4,57.4,-0.1,NA,NA
"08-20 Day","RE_RANK","A1_5",100,0.4,80,0.9,60,0.8,NA,NA,20,-0.6,60,0.2,60,-0.3,NA,NA,0,-0.9,0,-1.5,40,-0.5,NA,NA
"08-20 Day","RE_RANK","B6_10",80,0.4,100,2.1,80,1.4,NA,NA,40,0,100,1.7,60,0.6,NA,NA,0,-0.5,40,-0.1,60,0.3,NA,NA
"08-20 Day","RE_RANK","C11_15",80,0.5,80,2.5,80,1.9,NA,NA,20,-0.5,80,2,80,1,NA,NA,0,-1,0,-1.7,60,0.6,NA,NA
"08-20 Day","RE_RANK","D16_20",100,0.8,100,1.1,60,0,NA,NA,60,-0.4,40,0.3,20,-1.3,NA,NA,0,-0.9,20,-2.4,20,-2.1,NA,NA
"08-20 Day","RE_RANK","Z21~all",94.9,0.7,90.9,2,79.5,1.5,NA,NA,41.5,-0.2,80.7,1.3,70.5,0.6,NA,NA,0,-0.9,19.3,-1.4,57.4,0,NA,NA
"08-20 Day","RE_RANK_UP","A1_5",100,0.4,80,0.9,60,0.8,NA,NA,20,-0.6,60,0.2,60,-0.3,NA,NA,0,-0.9,0,-1.5,40,-0.5,NA,NA
"08-20 Day","RE_RANK_UP","B6_10",100,0.6,100,2.6,80,2.2,NA,NA,40,-0.1,100,2.2,60,1.4,NA,NA,0,-0.6,40,-0.3,60,1.1,NA,NA
"08-20 Day","RE_RANK_UP","C11_15",80,0.3,80,1.3,80,0.7,NA,NA,0,-0.7,60,0.9,60,-0.5,NA,NA,0,-1.2,0,-1.6,40,-0.9,NA,NA
"08-20 Day","RE_RANK_UP","D16_20",80,0.8,100,1.8,80,1.5,NA,NA,60,-0.1,80,1.2,60,0.7,NA,NA,0,-0.5,20,-1.2,40,0,NA,NA
"08-20 Day","RE_RANK_UP","Z21~all",94.9,0.7,90.9,2,79,1.5,NA,NA,42,-0.2,80.1,1.3,69.9,0.6,NA,NA,0,-0.9,19.3,-1.4,57.4,-0.1,NA,NA
